rank,id,score
720,3331,158.43474778431164
721,2757,158.0031791017407
722,8261,157.74864827157487
723,7540,157.71732572092606
724,5732,157.58795912521865
725,9229,157.28562100713344
726,9013,157.08025752497832
727,4128,157.0680251806634
728,8288,156.981680884842
729,2845,156.97882838888074
730,2612,156.42585290597506
731,0530,156.2814147668139
732,3910,156.21863682457288
733,1903,156.0125904647536
734,7044,155.95225915196642
735,0622,155.37440236523028
736,4797,155.24404638327272
737,0458,155.18667942141477
738,2155,155.03101802167245
739,7150,154.6345790493743
740,8605,154.59492249726097
741,5159,154.5373308546967
742,1772,154.38438656822402
743,1123,154.38059684458753
744,0803,154.30071917877964
745,4389,154.26376514059788
746,5083,153.95076018848795
747,2953,153.93392117237653
748,1517,153.71631716608275
749,0274,153.5228297901109
750,7254,153.46278704411185
751,0738,153.31758437547686
752,0571,152.83372185647033
753,4065,152.5700207929256
754,0059,152.31290898444752
755,8772,152.03881948763106
756,3664,151.83001990381698
757,7888,151.803986226159
758,1075,151.09487464883836
759,6388,150.86879981303932
760,9200,150.85152266479872
761,6382,150.64864832429802
762,6401,150.61485192380908
763,8227,150.49498792672915
764,1657,150.38513099452294
765,7419,150.36264756313125
766,3347,150.19569323138532
767,0306,149.97824700658234
768,6054,149.6139854376349
769,3276,149.2916683691764
770,3496,149.23329006806333
771,1452,148.6944147949924
772,2101,148.47681163937511
773,8259,148.370539152366
774,3727,148.3645905361638
775,6059,148.21926865999674
776,6973,148.0563832904918
777,7856,147.93103665711877
778,3619,147.81965732517162
779,8353,147.69538670310394
780,0215,147.48977358356237
781,7728,147.19315783058985
782,0118,147.17495486185334
783,6464,147.01594910244395
784,4001,146.94618931385938
785,2123,146.82625399005403
786,0585,146.7512313946831
787,1034,146.63994062014567
788,2188,146.63002625391212
789,2820,146.5112574849951
790,8599,146.38239764076727
791,6472,146.1916649194175
792,5796,146.0952925196606
793,4455,145.99068079542397
794,8830,145.7546007510307
795,0390,145.70778042216492
796,1204,145.68064849926517
797,7512,145.59886302158733
798,6046,145.5299680829369
799,3949,145.29629448558222
800,4270,145.22786295780008
801,6420,145.02127467704665
802,0154,144.71065092817477
803,0821,144.30991232763407
804,4195,144.22133210124343
805,7114,144.01261008670772
806,2018,143.84883756352662
807,9908,143.75506710732935
808,7561,143.6267321389244
809,0303,142.7963290240798
810,0666,142.77035133236225
811,1309,142.70676462319358
812,1078,142.48847601332955
813,3799,142.37409035241126
814,6928,142.227087918937
815,6564,142.02006014179372
816,3127,141.996120221815
817,9511,141.83498722771537
818,6333,141.7709179187223
819,2596,141.5371778461097
820,7142,141.51198878649063
821,8575,141.46364802001256
822,2404,141.46112811700237
823,4516,141.45121258340103
824,5109,141.4507370256526
825,9394,141.42606636618777
826,5651,141.28173212035986
827,4730,141.25723548344476
828,9294,141.2375731842135
829,9799,140.6589304488176
830,0482,140.52015112082793
831,7495,139.92762163433696
832,8765,139.86894901875115
833,6892,139.64969902973294
834,9292,139.56755001343882
835,2692,139.5136869653485
836,7402,139.47971823402648
837,9982,139.43535306339453
838,0377,139.40153326556012
